Configuration,small
Jumps,5210
Conditional Branches,2429552
Taken Conditional Branches,1399425
Instructions Retired / Cycles,0.979074
Fetch Wait / Instruction Retired,0.0213734
Taken Conditional Branches / Conditional Branches,0.576001
,
,
,
,
,
,
Configuration,maxperf
Matrix Dimension,72
Cycles,65925460
Instructions Retired,65733259
LSU Busy,1
Fetch Wait,192200
Loads,15396850
Stores,260182
Jumps,5210
Conditional Branches,2429552
Taken Conditional Branches,1399425
Instructions Retired / Cycles,0.997085
Fetch Wait / Instruction Retired,0.00292394
Taken Conditional Branches / Conditional Branches,0.576001
,
,
,
,
,
,
Configuration,small
Matrix Dimension,72
Cycles,106796591
Instructions Retired,65733259
Instructions Retired / Cycles,0.6155
Fetch Wait / Instruction Retired,0
Taken Conditional Branches / Conditional Branches,-nan
,
,
,
,
,
,
Configuration,opentitan_4096
Matrix Dimension,72
Cycles,67139268
Instructions Retired,65733259
LSU Busy,1
Fetch Wait,1406008
Loads,15396850
Stores,260182
Jumps,5210
Conditional Branches,2429552
Taken Conditional Branches,1399425
Instructions Retired / Cycles,0.979058
Fetch Wait / Instruction Retired,0.0213896
Taken Conditional Branches / Conditional Branches,0.576001
,
,
,
,
,
,
Configuration,opentitan_8192
Matrix Dimension,72
Cycles,67138206
Instructions Retired,65733259
LSU Busy,1
Fetch Wait,1404946
Loads,15396850
Stores,260182
Jumps,5210
Conditional Branches,2429552
Taken Conditional Branches,1399425
Instructions Retired / Cycles,0.979074
Fetch Wait / Instruction Retired,0.0213734
Taken Conditional Branches / Conditional Branches,0.576001
,
,
,
,
,
,
Configuration,maxperf
Matrix Dimension,72
Cycles,65925460
Instructions Retired,65733259
LSU Busy,1
Fetch Wait,192200
Loads,15396850
Stores,260182
Jumps,5210
Conditional Branches,2429552
Taken Conditional Branches,1399425
Instructions Retired / Cycles,0.997085
Fetch Wait / Instruction Retired,0.00292394
Taken Conditional Branches / Conditional Branches,0.576001
,
,
,
,
,
,
Configuration,maxperf_with_cache_4096
Matrix Dimension,72
Cycles,65926893
Instructions Retired,65733259
LSU Busy,1
Fetch Wait,193633
Loads,15396850
Stores,260182
Jumps,5210
Conditional Branches,2429552
Taken Conditional Branches,1399425
Instructions Retired / Cycles,0.997063
Fetch Wait / Instruction Retired,0.00294574
Taken Conditional Branches / Conditional Branches,0.576001
,
,
,
,
,
,
Configuration,maxperf_with_cache_8192
Matrix Dimension,72
Cycles,65925787
Instructions Retired,65733259
LSU Busy,1
Fetch Wait,192527
Loads,15396850
Stores,260182
Jumps,5210
Conditional Branches,2429552
Taken Conditional Branches,1399425
Instructions Retired / Cycles,0.99708
Fetch Wait / Instruction Retired,0.00292891
Taken Conditional Branches / Conditional Branches,0.576001
,
,
,
,
,
,
Configuration,maxperf-pmp-bmfull
Matrix Dimension,72
Cycles,67137895
Instructions Retired,65733259
LSU Busy,1
Fetch Wait,1404635
Loads,15396850
Stores,260182
Jumps,5210
Conditional Branches,2429552
Taken Conditional Branches,1399425
Instructions Retired / Cycles,0.979078
Fetch Wait / Instruction Retired,0.0213687
Taken Conditional Branches / Conditional Branches,0.576001
,
,
,
,
,
,
Configuration,maxperf-pmp-bmfull-icache
Matrix Dimension,72
Cycles,67139268
Instructions Retired,65733259
LSU Busy,1
Fetch Wait,1406008
Loads,15396850
Stores,260182
Jumps,5210
Conditional Branches,2429552
Taken Conditional Branches,1399425
Instructions Retired / Cycles,0.979058
Fetch Wait / Instruction Retired,0.0213896
Taken Conditional Branches / Conditional Branches,0.576001
,
,
,
,
,
,
Configuration,small
Matrix Dimension,83
Cycles,161483735
Instructions Retired,98369751
Instructions Retired / Cycles,0.609162
Fetch Wait / Instruction Retired,0
Taken Conditional Branches / Conditional Branches,-nan
,
,
,
,
,
,
Configuration,opentitan_4096
Matrix Dimension,83
Cycles,100720554
Instructions Retired,98369751
LSU Busy,1
Fetch Wait,2350802
Loads,23491860
Stores,345542
Jumps,5140
Conditional Branches,3302732
Taken Conditional Branches,2344331
Instructions Retired / Cycles,0.97666
Fetch Wait / Instruction Retired,0.0238976
Taken Conditional Branches / Conditional Branches,0.709816
,
,
,
,
,
